CERCID	Order	BGD	LGD	POD
BGP052	5	NA	NA	NA
BGP053	1	NA	NA	NA
BGP053	2	NA	NA	NA
BGP053	3	NA	NA	NA
BGP053	4	NA	NA	NA
BGP053	5	NA	NA	NA
BGP054	1	NA	NA	NA
BGP054	2	NA	NA	NA
BGP054	3	NA	NA	NA
BGP054	4	NA	NA	NA
BGP054	5	NA	NA	NA
BGP055	1	NA	NA	NA
BGP055	2	NA	NA	NA
BGP055	3	NA	NA	NA
BGP055	4	NA	NA	NA
BGP055	5	NA	NA	NA
BGP056	1	NA	NA	NA
BGP056	2	NA	NA	NA
BGP056	3	NA	NA	NA
BGP056	4	NA	NA	NA
BGP056	5	NA	NA	NA
BGP057	1	NA	NA	NA
BGP057	2	NA	NA	NA
BGP057	3	NA	NA	NA
BGP057	4	NA	NA	NA
BGP057	5	NA	NA	NA
BGP058	1	NA	NA	NA
BGP058	2	NA	NA	NA
BGP058	3	NA	NA	NA
BGP058	4	NA	NA	NA
BGP058	5	NA	NA	NA
BGP059	1	NA	NA	NA
BGP059	2	NA	NA	NA
BGP059	3	NA	NA	NA
BGP059	4	NA	NA	NA
BGP059	5	NA	NA	NA
CERC436	1	Miscellaneous	Ecology	Miscellaneous
CERC436	2	NA	NA	Virtue
CERC436	3	NA	NA	Ritual
CERC436	4	NA	NA	Morality
CERC436	5	NA	NA	Morality
CERC437	1	Ecology	Religion	People
CERC437	2	Religion	Ritual	Substance Use/Abuse
CERC437	3	Virtue	Ecology	Morality
CERC437	4	Virtue	NA	Miscellaneous
CERC437	5	Ecology	NA	Morality
CERC438	1	Morality	Ecology	Morality
CERC438	2	Substance Use/Abuse	Ecology	Morality
CERC438	3	Morality	Etiquette	Morality
CERC438	4	NA	NA	Miscellaneous
CERC438	5	NA	NA	Morality
CERC439	1	Religion	Ecology	Miscellaneous
CERC439	2	Ritual	NA	NA
CERC439	3	Virtue	NA	NA
CERC439	4	NA	NA	NA
CERC439	5	NA	NA	NA
CERC440	1	Miscellaneous	Religion	Miscellaneous
CERC440	2	Morality	NA	Virtue
